Pressure (Pa),Height(m),Velocity,Time
101327.401,0.13325,0,1
101327.401,0.13325,0.1000416667,2
101326.2005,0.23329,-0.1000416667,3
101327.401,0.13325,-0.1000416667,4
101328.6015,0.03321,0.1000416667,5
101327.401,0.13325,-0.1000416667,6
101328.6015,0.03321,0,7
101328.6015,0.03321,0,8
101328.6015,0.03321,0,9
101328.6015,0.03321,0,10
101328.6015,0.03321,8.303458333,11
101228.96,8.33667,49.42058333,12
100635.913,57.75725,92.53854167,13
99525.4505,150.29579,21.00875,14
99273.3455,171.30454,86.83616667,15
98231.3115,258.14071,64.22675,16
97460.5905,322.36746,50.92120833,17
96849.536,373.28867,30.11254167,18
96488.1855,403.40121,15.40641667,19
96303.3085,418.80763,10.00416667,20
96183.2585,428.81179,2.000833333,21
96159.2485,430.81263,-6.502708333,22
96237.281,424.30992,-39.21633333,23
96707.877,385.09358,12.20508333,24
96561.416,397.29867,-18.40766667,25
96782.308,378.89100,-18.20758333,26
97000.799,360.68342,-42.0175,27
97505.009,318.66592,-20.30845833,28
97748.7105,298.35746,-20.60858333,29
97996.0135,277.74888,-20.60858333,30
98243.3165,257.14029,-21.50895833,31
98501.424,235.63133,-22.8095,32
98775.138,212.82183,-20.20841667,33
99017.639,192.61342,-23.50979167,34
99299.7565,169.10363,-41.51729167,35
99797.964,127.58633,-43.61816667,36
100321.382,83.96817,-22.00916667,37
100585.492,61.95900,-19.208,38
100815.988,42.75100,-20.20841667,39
101058.489,22.54258,-22.54258333,40
